estimated_code_reward: mean=0.2699, std=0.3874, num_groups=2, num_samples=320
estimated_case_reward: mean=0.2043, std=0.4193, num_groups=1, num_samples=128
estimated_code_reward: mean=0.2820, std=0.4156, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1928, std=0.3700, num_groups=3, num_samples=192
estimated_code_reward: mean=0.2254, std=0.3454, num_groups=3, num_samples=320
estimated_case_reward: mean=0.1019, std=0.3097, num_groups=2, num_samples=80
estimated_code_reward: mean=0.4754, std=0.4675, num_groups=4, num_samples=320
estimated_case_reward: mean=0.2263, std=0.4700, num_groups=3, num_samples=192
estimated_code_reward: mean=0.1820, std=0.3467, num_groups=2, num_samples=320
estimated_case_reward: mean=0.2777, std=0.4360, num_groups=4, num_samples=96
estimated_code_reward: mean=0.1914, std=0.3542, num_groups=2, num_samples=320
estimated_case_reward: mean=0.0975, std=0.3480, num_groups=1, num_samples=80
estimated_code_reward: mean=0.2648, std=0.4193, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1684, std=0.5107, num_groups=2, num_samples=128
estimated_code_reward: mean=0.2199, std=0.3746, num_groups=4, num_samples=320
estimated_case_reward: mean=-0.1118, std=0.4659, num_groups=1, num_samples=96
estimated_code_reward: mean=0.2797, std=0.4220, num_groups=3, num_samples=320
estimated_case_reward: mean=0.2551, std=0.3833, num_groups=1, num_samples=160
estimated_code_reward: mean=0.3187, std=0.4151, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1560, std=0.4045, num_groups=2, num_samples=208
estimated_code_reward: mean=0.2535, std=0.3942, num_groups=3, num_samples=320
estimated_case_reward: mean=0.4254, std=0.4702, num_groups=1, num_samples=96
estimated_code_reward: mean=0.2406, std=0.3797, num_groups=3, num_samples=320
estimated_case_reward: mean=0.2257, std=0.4077, num_groups=2, num_samples=80
estimated_code_reward: mean=0.4605, std=0.4542, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0705, std=0.4857, num_groups=4, num_samples=208
estimated_code_reward: mean=0.3098, std=0.4219, num_groups=3, num_samples=320
estimated_case_reward: mean=0.1398, std=0.4647, num_groups=4, num_samples=160
estimated_code_reward: mean=0.3727, std=0.4455, num_groups=4, num_samples=320
estimated_case_reward: mean=0.2219, std=0.4027, num_groups=1, num_samples=176
estimated_code_reward: mean=0.2734, std=0.4114, num_groups=3, num_samples=320
estimated_case_reward: mean=0.1031, std=0.3138, num_groups=3, num_samples=128
estimated_code_reward: mean=0.3578, std=0.4238, num_groups=2, num_samples=320
estimated_case_reward: mean=0.0702, std=0.4994, num_groups=1, num_samples=160
estimated_code_reward: mean=0.3242, std=0.3915, num_groups=6, num_samples=320
estimated_case_reward: mean=0.1558, std=0.5978, num_groups=2, num_samples=112
estimated_code_reward: mean=0.3203, std=0.4402, num_groups=2, num_samples=320
estimated_case_reward: mean=0.3031, std=0.5146, num_groups=0, num_samples=144
estimated_code_reward: mean=0.2055, std=0.3571, num_groups=3, num_samples=320
estimated_case_reward: mean=0.0609, std=0.3121, num_groups=0, num_samples=112
estimated_code_reward: mean=0.2703, std=0.3993, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0297, std=0.6136, num_groups=2, num_samples=128
estimated_code_reward: mean=0.3293, std=0.4153, num_groups=3, num_samples=320
estimated_case_reward: mean=0.0751, std=0.3778, num_groups=1, num_samples=128
estimated_code_reward: mean=0.3613, std=0.4411, num_groups=2, num_samples=320
estimated_case_reward: mean=-0.0310, std=0.4675, num_groups=3, num_samples=192
estimated_code_reward: mean=0.2496, std=0.3966, num_groups=3, num_samples=320
estimated_case_reward: mean=0.0919, std=0.4845, num_groups=2, num_samples=144
estimated_code_reward: mean=0.3187, std=0.4301, num_groups=0, num_samples=320
estimated_case_reward: mean=0.3564, std=0.5731, num_groups=3, num_samples=112
estimated_code_reward: mean=0.3406, std=0.4253, num_groups=0, num_samples=320
estimated_case_reward: mean=0.1292, std=0.5471, num_groups=2, num_samples=144
estimated_code_reward: mean=0.3566, std=0.4114, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1718, std=0.3906, num_groups=1, num_samples=112
estimated_code_reward: mean=0.3074, std=0.4251, num_groups=1, num_samples=320
estimated_case_reward: mean=0.2299, std=0.4324, num_groups=2, num_samples=176
estimated_code_reward: mean=0.3277, std=0.4228, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1313, std=0.4986, num_groups=3, num_samples=144
estimated_code_reward: mean=0.3211, std=0.4421, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0429, std=0.4841, num_groups=3, num_samples=160
estimated_code_reward: mean=0.2824, std=0.4134, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0625, std=0.3564, num_groups=4, num_samples=144
estimated_code_reward: mean=0.3559, std=0.4432, num_groups=4, num_samples=320
estimated_case_reward: mean=0.2107, std=0.5914, num_groups=4, num_samples=192
estimated_code_reward: mean=0.2660, std=0.4058, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1233, std=0.4008, num_groups=4, num_samples=160
estimated_code_reward: mean=0.2484, std=0.3716, num_groups=2, num_samples=320
estimated_case_reward: mean=0.2102, std=0.7620, num_groups=0, num_samples=80
estimated_code_reward: mean=0.2742, std=0.3754, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1240, std=0.4379, num_groups=2, num_samples=144
estimated_code_reward: mean=0.2805, std=0.4093, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1256, std=0.5289, num_groups=0, num_samples=112
estimated_code_reward: mean=0.2930, std=0.4109, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1926, std=0.3757, num_groups=2, num_samples=176
estimated_code_reward: mean=0.1965, std=0.3619, num_groups=3, num_samples=320
estimated_case_reward: mean=0.2067, std=0.4384, num_groups=2, num_samples=112
estimated_code_reward: mean=0.2531, std=0.4025, num_groups=2, num_samples=320
estimated_case_reward: mean=0.0964, std=0.3682, num_groups=3, num_samples=160
estimated_code_reward: mean=0.2012, std=0.3426, num_groups=1, num_samples=320
estimated_case_reward: mean=0.2500, std=0.4610, num_groups=1, num_samples=80
estimated_code_reward: mean=0.2922, std=0.4199, num_groups=1, num_samples=320
estimated_case_reward: mean=-0.1149, std=0.3551, num_groups=3, num_samples=128
estimated_code_reward: mean=0.2750, std=0.4218, num_groups=3, num_samples=320
estimated_case_reward: mean=0.2314, std=0.5387, num_groups=2, num_samples=128
estimated_code_reward: mean=0.2199, std=0.3618, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1643, std=0.3501, num_groups=1, num_samples=112
estimated_code_reward: mean=0.1734, std=0.3366, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0469, std=0.4818, num_groups=1, num_samples=64
estimated_code_reward: mean=0.2188, std=0.3945, num_groups=3, num_samples=320
estimated_case_reward: mean=0.0758, std=0.5090, num_groups=3, num_samples=144
estimated_code_reward: mean=0.2402, std=0.3936, num_groups=1, num_samples=320
estimated_case_reward: mean=0.2330, std=0.5589, num_groups=0, num_samples=144
estimated_code_reward: mean=0.1117, std=0.2645, num_groups=6, num_samples=320
estimated_case_reward: mean=-0.0111, std=0.1745, num_groups=4, num_samples=80
estimated_code_reward: mean=0.3168, std=0.4380, num_groups=2, num_samples=320
estimated_case_reward: mean=0.2826, std=0.5615, num_groups=1, num_samples=176
estimated_code_reward: mean=0.1656, std=0.2600, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1172, std=0.3246, num_groups=3, num_samples=64
estimated_code_reward: mean=0.2621, std=0.4120, num_groups=0, num_samples=320
estimated_case_reward: mean=0.1775, std=0.4405, num_groups=2, num_samples=112
estimated_code_reward: mean=0.2004, std=0.3522, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1327, std=0.3330, num_groups=1, num_samples=112
estimated_code_reward: mean=0.3988, std=0.4004, num_groups=1, num_samples=320
estimated_case_reward: mean=0.3187, std=0.4422, num_groups=0, num_samples=96
estimated_code_reward: mean=0.3133, std=0.4078, num_groups=3, num_samples=320
estimated_case_reward: mean=0.2412, std=0.3819, num_groups=3, num_samples=144
estimated_code_reward: mean=0.2844, std=0.3913, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1192, std=0.5578, num_groups=4, num_samples=128
estimated_code_reward: mean=0.1559, std=0.2702, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1825, std=0.2969, num_groups=1, num_samples=48
estimated_code_reward: mean=0.3934, std=0.4566, num_groups=2, num_samples=320
estimated_case_reward: mean=0.0099, std=0.4602, num_groups=1, num_samples=176
estimated_code_reward: mean=0.3145, std=0.4157, num_groups=4, num_samples=320
estimated_case_reward: mean=0.0208, std=0.6800, num_groups=1, num_samples=128
estimated_code_reward: mean=0.2098, std=0.3531, num_groups=1, num_samples=320
estimated_case_reward: mean=0.2801, std=0.4731, num_groups=1, num_samples=96
estimated_code_reward: mean=0.2723, std=0.3833, num_groups=2, num_samples=320
estimated_case_reward: mean=-0.1471, std=0.4828, num_groups=3, num_samples=144
estimated_code_reward: mean=0.4234, std=0.4246, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1259, std=0.3843, num_groups=0, num_samples=176
estimated_code_reward: mean=0.3660, std=0.4377, num_groups=2, num_samples=320
estimated_case_reward: mean=0.2576, std=0.5024, num_groups=1, num_samples=176
estimated_code_reward: mean=0.2691, std=0.4112, num_groups=2, num_samples=320
estimated_case_reward: mean=0.0286, std=0.5310, num_groups=2, num_samples=96
estimated_code_reward: mean=0.1598, std=0.3207, num_groups=3, num_samples=320
estimated_case_reward: mean=0.1319, std=0.3640, num_groups=3, num_samples=64
estimated_code_reward: mean=0.1598, std=0.2988, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0576, std=0.2594, num_groups=1, num_samples=112
estimated_code_reward: mean=0.3871, std=0.4428, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1044, std=0.3993, num_groups=6, num_samples=176
estimated_code_reward: mean=0.3328, std=0.4171, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1207, std=0.5156, num_groups=3, num_samples=160
estimated_code_reward: mean=0.1574, std=0.3126, num_groups=3, num_samples=320
estimated_case_reward: mean=0.1882, std=0.4070, num_groups=2, num_samples=96
estimated_code_reward: mean=0.2711, std=0.4248, num_groups=2, num_samples=320
estimated_case_reward: mean=-0.1309, std=0.5104, num_groups=1, num_samples=128
estimated_code_reward: mean=0.2367, std=0.3788, num_groups=3, num_samples=320
estimated_case_reward: mean=0.2215, std=0.5095, num_groups=0, num_samples=128
estimated_code_reward: mean=0.2410, std=0.3797, num_groups=4, num_samples=320
estimated_case_reward: mean=-0.0731, std=0.6666, num_groups=2, num_samples=112
estimated_code_reward: mean=0.2840, std=0.4005, num_groups=2, num_samples=320
estimated_case_reward: mean=0.4250, std=0.6666, num_groups=1, num_samples=80
estimated_code_reward: mean=0.2738, std=0.4154, num_groups=1, num_samples=320
estimated_case_reward: mean=0.3793, std=0.5274, num_groups=2, num_samples=160
estimated_code_reward: mean=0.3016, std=0.4155, num_groups=2, num_samples=320
estimated_case_reward: mean=0.0801, std=0.3202, num_groups=3, num_samples=160
estimated_code_reward: mean=0.2328, std=0.3809, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1752, std=0.3694, num_groups=0, num_samples=160
estimated_code_reward: mean=0.3496, std=0.4451, num_groups=3, num_samples=320
estimated_case_reward: mean=0.1199, std=0.5311, num_groups=4, num_samples=160
estimated_code_reward: mean=0.2887, std=0.3936, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0871, std=0.5837, num_groups=0, num_samples=128
estimated_code_reward: mean=0.2469, std=0.3623, num_groups=2, num_samples=320
estimated_case_reward: mean=0.2099, std=0.4618, num_groups=1, num_samples=128
estimated_code_reward: mean=0.2734, std=0.3899, num_groups=1, num_samples=320
estimated_case_reward: mean=0.2941, std=0.4468, num_groups=1, num_samples=128
estimated_code_reward: mean=0.0777, std=0.1908, num_groups=3, num_samples=320
estimated_case_reward: mean=0.1587, std=0.3464, num_groups=0, num_samples=48
estimated_code_reward: mean=0.2941, std=0.4157, num_groups=6, num_samples=320
estimated_case_reward: mean=0.1500, std=0.4834, num_groups=0, num_samples=80
estimated_code_reward: mean=0.3469, std=0.4268, num_groups=1, num_samples=320
estimated_case_reward: mean=0.2853, std=0.4434, num_groups=2, num_samples=144
estimated_code_reward: mean=0.2141, std=0.3433, num_groups=2, num_samples=320
estimated_case_reward: mean=0.2375, std=0.4298, num_groups=1, num_samples=80
estimated_code_reward: mean=0.2191, std=0.3387, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0439, std=0.2347, num_groups=2, num_samples=96
estimated_code_reward: mean=0.3500, std=0.4405, num_groups=0, num_samples=320
estimated_case_reward: mean=0.2012, std=0.5164, num_groups=1, num_samples=144
estimated_code_reward: mean=0.1887, std=0.3298, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1403, std=0.5208, num_groups=2, num_samples=144
estimated_code_reward: mean=0.2809, std=0.4154, num_groups=1, num_samples=320
estimated_case_reward: mean=0.3832, std=0.6394, num_groups=0, num_samples=128
estimated_code_reward: mean=0.2750, std=0.4034, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0235, std=0.5848, num_groups=2, num_samples=128
estimated_code_reward: mean=0.2934, std=0.3941, num_groups=0, num_samples=320
estimated_case_reward: mean=-0.1730, std=0.5894, num_groups=3, num_samples=96
estimated_code_reward: mean=0.2293, std=0.3695, num_groups=0, num_samples=320
estimated_case_reward: mean=0.1425, std=0.3626, num_groups=0, num_samples=144
estimated_code_reward: mean=0.3480, std=0.4514, num_groups=3, num_samples=320
estimated_case_reward: mean=0.1495, std=0.6093, num_groups=2, num_samples=144
estimated_code_reward: mean=0.2980, std=0.3946, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1586, std=0.3984, num_groups=3, num_samples=96
estimated_code_reward: mean=0.2027, std=0.3188, num_groups=3, num_samples=320
estimated_case_reward: mean=0.2259, std=0.4196, num_groups=2, num_samples=96
estimated_code_reward: mean=0.1832, std=0.3563, num_groups=2, num_samples=320
estimated_case_reward: mean=0.2313, std=0.4770, num_groups=2, num_samples=112
estimated_code_reward: mean=0.3465, std=0.4382, num_groups=1, num_samples=320
estimated_case_reward: mean=0.2119, std=0.6637, num_groups=0, num_samples=144
estimated_code_reward: mean=0.1266, std=0.2850, num_groups=2, num_samples=320
estimated_case_reward: mean=0.2429, std=0.5582, num_groups=0, num_samples=48
estimated_code_reward: mean=0.4516, std=0.4530, num_groups=0, num_samples=320
estimated_case_reward: mean=0.1800, std=0.5156, num_groups=1, num_samples=176
estimated_code_reward: mean=0.3238, std=0.4233, num_groups=2, num_samples=320
estimated_case_reward: mean=0.0730, std=0.4525, num_groups=3, num_samples=160
estimated_code_reward: mean=0.2055, std=0.3693, num_groups=3, num_samples=320
estimated_case_reward: mean=0.2148, std=0.5864, num_groups=1, num_samples=96
estimated_code_reward: mean=0.3156, std=0.4260, num_groups=3, num_samples=320
estimated_case_reward: mean=0.2686, std=0.4488, num_groups=1, num_samples=160
estimated_code_reward: mean=0.2895, std=0.4141, num_groups=4, num_samples=320
estimated_case_reward: mean=0.1967, std=0.3589, num_groups=2, num_samples=160
estimated_code_reward: mean=0.1977, std=0.3601, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1820, std=0.3786, num_groups=2, num_samples=144
estimated_code_reward: mean=0.2664, std=0.3906, num_groups=2, num_samples=320
estimated_case_reward: mean=0.2867, std=0.5634, num_groups=1, num_samples=128
estimated_code_reward: mean=0.3543, std=0.4394, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1255, std=0.5346, num_groups=2, num_samples=160
estimated_code_reward: mean=0.1125, std=0.2721, num_groups=3, num_samples=320
estimated_case_reward: mean=0.1409, std=0.3176, num_groups=0, num_samples=64
estimated_code_reward: mean=0.3953, std=0.4400, num_groups=0, num_samples=320
estimated_case_reward: mean=0.1393, std=0.5057, num_groups=0, num_samples=160
estimated_code_reward: mean=0.2645, std=0.3896, num_groups=0, num_samples=320
estimated_case_reward: mean=0.2058, std=0.4391, num_groups=3, num_samples=112
estimated_code_reward: mean=0.3598, std=0.4313, num_groups=1, num_samples=320
estimated_case_reward: mean=0.2848, std=0.4525, num_groups=1, num_samples=144
estimated_code_reward: mean=0.3691, std=0.4296, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1759, std=0.4369, num_groups=2, num_samples=176
estimated_code_reward: mean=0.3059, std=0.4159, num_groups=2, num_samples=320
estimated_case_reward: mean=0.0464, std=0.6761, num_groups=1, num_samples=128
estimated_code_reward: mean=0.2867, std=0.4096, num_groups=0, num_samples=320
estimated_case_reward: mean=0.2127, std=0.3819, num_groups=0, num_samples=112
estimated_code_reward: mean=0.4027, std=0.4310, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1322, std=0.3583, num_groups=2, num_samples=176
estimated_code_reward: mean=0.2785, std=0.3772, num_groups=0, num_samples=320
estimated_case_reward: mean=0.2091, std=0.6102, num_groups=2, num_samples=96
estimated_code_reward: mean=0.1789, std=0.3300, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1984, std=0.4368, num_groups=2, num_samples=64
estimated_code_reward: mean=0.2895, std=0.4266, num_groups=1, num_samples=320
estimated_case_reward: mean=0.5401, std=0.6697, num_groups=0, num_samples=128
estimated_code_reward: mean=0.3055, std=0.4215, num_groups=3, num_samples=320
estimated_case_reward: mean=0.1822, std=0.4363, num_groups=3, num_samples=128
estimated_code_reward: mean=0.2785, std=0.3854, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1299, std=0.4411, num_groups=1, num_samples=128
estimated_code_reward: mean=0.3672, std=0.4501, num_groups=1, num_samples=320
estimated_case_reward: mean=0.2486, std=0.5463, num_groups=2, num_samples=208
estimated_code_reward: mean=0.2105, std=0.3709, num_groups=4, num_samples=320
estimated_case_reward: mean=-0.0954, std=0.4900, num_groups=2, num_samples=128
estimated_code_reward: mean=0.1977, std=0.3416, num_groups=3, num_samples=320
estimated_case_reward: mean=0.0667, std=0.5954, num_groups=1, num_samples=96
estimated_code_reward: mean=0.2234, std=0.3661, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1605, std=0.3891, num_groups=2, num_samples=128
estimated_code_reward: mean=0.2789, std=0.4167, num_groups=1, num_samples=320
estimated_case_reward: mean=0.2769, std=0.5635, num_groups=1, num_samples=112
estimated_code_reward: mean=0.2309, std=0.3780, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0983, std=0.2349, num_groups=1, num_samples=112
estimated_code_reward: mean=0.1980, std=0.3592, num_groups=3, num_samples=320
estimated_case_reward: mean=0.1572, std=0.3699, num_groups=3, num_samples=144
estimated_code_reward: mean=0.2332, std=0.3726, num_groups=2, num_samples=320
estimated_case_reward: mean=0.3520, std=0.6176, num_groups=1, num_samples=80
estimated_code_reward: mean=0.3691, std=0.4596, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0292, std=0.5278, num_groups=0, num_samples=160
estimated_code_reward: mean=0.3121, std=0.4317, num_groups=0, num_samples=320
estimated_case_reward: mean=0.2059, std=0.3926, num_groups=1, num_samples=144
estimated_code_reward: mean=0.2723, std=0.3964, num_groups=3, num_samples=320
estimated_case_reward: mean=-0.0363, std=0.5806, num_groups=2, num_samples=128
estimated_code_reward: mean=0.2582, std=0.4027, num_groups=3, num_samples=320
estimated_case_reward: mean=0.2727, std=0.4336, num_groups=2, num_samples=144
estimated_code_reward: mean=0.2988, std=0.4376, num_groups=5, num_samples=320
estimated_case_reward: mean=0.1576, std=0.4200, num_groups=5, num_samples=176
estimated_code_reward: mean=0.2855, std=0.4226, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1431, std=0.6075, num_groups=4, num_samples=128
estimated_code_reward: mean=0.2992, std=0.4124, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0894, std=0.5666, num_groups=2, num_samples=144
estimated_code_reward: mean=0.2934, std=0.4140, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1399, std=0.6070, num_groups=0, num_samples=128
estimated_code_reward: mean=0.2480, std=0.3892, num_groups=1, num_samples=320
estimated_case_reward: mean=0.2876, std=0.4700, num_groups=0, num_samples=160
estimated_code_reward: mean=0.2391, std=0.3640, num_groups=2, num_samples=320
estimated_case_reward: mean=0.3472, std=0.4523, num_groups=2, num_samples=112
estimated_code_reward: mean=0.4145, std=0.4459, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0508, std=0.5035, num_groups=3, num_samples=192
